日期 最高气温 最低气温 天气 风向 风力
2017-10-01 15 3 多云 西风 2级
2017-10-02 11 0 多云 西南风 2级
2017-10-03 10 0 多云 西风 2级
2017-10-04 13 5 晴 南风 2级
2017-10-05 20 10 晴 西南风 3级
2017-10-06 21 12 晴 西南风 4级
2017-10-07 18 8 阴 东北风 1级
2017-10-08 15 5 多云 东风 3级
2017-10-09 11 1 多云 北风 2级
2017-10-10 11 1 多云 东北风 2级
2017-10-11 9 0 阵雨 西风 2级
2017-10-12 10 1 晴 西风 2级
2017-10-13 11 0 阵雨 西南风 2级
2017-10-14 10 -2 晴 西风 1级
2017-10-15 10 0 多云 北风 1级
2017-10-16 11 -2 多云 西南风 3级
2017-10-17 8 -3 晴 东风 1级
2017-10-18 11 3 晴 东风 1级
2017-10-19 12 -1 霾 南风 1级
2017-10-20 14 -1 阵雨 西风 1级
2017-10-21 4 -5 晴 西风 2级
2017-10-22 7 -6 晴 东北风 2级
2017-10-23 8 -2 霾 西南风 2级
2017-10-24 13 0 晴 西南风 4级
2017-10-25 11 0 晴 东北风 1级
2017-10-26 15 5 晴 南风 2级
2017-10-30 9 -1 晴 南风 1级
2017-10-31 11 1 多云 西南风 2级
