日期 最高气温 最低气温 天气 风向 风力
2017-10-01 28 22 雷阵雨 北风 3级
2017-10-02 23 19 中到大雨 东北风 2级
2017-10-03 22 16 阴 北风 3级
2017-10-04 19 15 阵雨 北风 3级
2017-10-05 16 13 小到中雨 东风 微风
2017-10-06 23 14 多云 北风 1级
2017-10-07 24 18 多云 东风 2级
2017-10-08 28 19 晴 东风 2级
2017-10-09 29 22 晴 东风 2级
2017-10-10 28 20 雷阵雨 西北风 3级
2017-10-11 18 14 阵雨 东北风 2级
2017-10-12 15 13 小到中雨 北风 1级
2017-10-13 20 15 多云 东风 2级
2017-10-14 19 16 阴 东北风 3级
2017-10-15 18 14 小雨 东北风 3级
2017-10-16 18 15 阵雨 东北风 3级
2017-10-17 19 15 小雨 东北风 2级
2017-10-18 18 14 阴 北风 3级
2017-10-19 19 13 多云 北风 1级
2017-10-20 21 12 多云 北风 1级
2017-10-21 23 12 多云 北风 2级
2017-10-22 22 11 多云 北风 2级
2017-10-23 19 11 多云 北风 2级
2017-10-24 19 9 晴 东北风 1级
2017-10-25 20 12 晴 东南风 2级
2017-10-26 12 0 多云 东北风 3～4级
2017-10-27 11 0 晴 东北风 小于3级
2017-10-28 12 0 晴 北风 3～4级
2017-10-29 7 0 多云 北风 4～5级
2017-10-30 15 7 晴 北风 1级
2017-10-31 18 9 晴 东南风 2级
