日期 最高气温 最低气温 天气 风向 风力
2017-10-01 31 22 小雨 东南风 1级
2017-10-02 26 20 小雨 东南风 1级
2017-10-03 24 20 阴 东北风 1级
2017-10-04 22 18 阴 西风 1级
2017-10-05 21 18 小雨 东南风 1级
2017-10-06 23 18 阴 东南风 1级
2017-10-07 26 20 晴 东南风 1级
2017-10-08 28 21 晴 东北风 1级
2017-10-09 29 23 多云 东南风 1级
2017-10-10 30 23 多云 北风 1级
2017-10-11 23 19 小雨 东北风 1级
2017-10-12 20 17 小雨 东南风 1级
2017-10-13 21 18 阴 东风 1级
2017-10-14 21 18 小雨 西风 1级
2017-10-15 20 17 中雨 东北风 1级
2017-10-16 20 17 小雨 东风 2级
2017-10-17 21 17 阴 东风 1级
2017-10-18 22 17 阴 东风 1级
2017-10-19 21 17 小雨 东北风 1级
2017-10-20 23 17 多云 东北风 1级
2017-10-21 22 17 多云 南风 1级
2017-10-22 22 16 多云 西风 1级
2017-10-23 20 13 多云 西北风 1级
2017-10-24 20 13 晴 北风 微风
2017-10-25 20 15 多云 东北风 1级
2017-10-26 14 0 多云 东北风 小于3级
2017-10-27 16 0 晴 北风 小于3级
2017-10-28 15 0 晴 北风 3～4级
2017-10-29 11 0 多云 北风 3～4级
2017-10-30 16 11 多云 东风 1级
2017-10-31 18 13 多云 西北风 1级
